property_type,price,city,bath,area_sqft,bedrooms,year
1,220000000,2,0,32670.1,0,2019
1,40000000,2,5,5445.02,5,2018
1,9500000,2,0,2450.26,3,2019
1,52000000,2,6,5445.02,5,2019
1,32500000,2,0,5445.02,5,2019
1,31500000,2,0,5445.02,6,2019
1,13500000,2,4,2041.88,4,2019
1,87500000,2,5,6534.02,4,2019
1,16500000,2,0,2722.51,4,2019
1,18500000,2,0,2722.51,0,2019
1,23500000,2,4,2722.51,4,2019
1,22500000,2,4,5445.02,4,2019
1,50000000,2,7,4900.52,6,2019
1,39500000,2,6,2722.51,6,2019
1,27500000,2,5,3267.01,4,2019
1,40000000,2,3,2994.76,6,2019
1,50000000,2,6,5445.02,5,2019
1,45000000,2,6,5445.02,5,2019
1,3200000,2,2,816.75,3,2018
1,21200000,2,4,2722.51,3,2019
1,23000000,2,5,2722.51,4,2019
1,21500000,2,5,2722.51,4,2019
1,21500000,2,5,2722.51,4,2019
1,40000000,2,6,5445.02,5,2019
1,26000000,2,5,2722.51,4,2019
1,21000000,2,4,2722.51,4,2019
1,23000000,2,5,2722.51,4,2019
1,23000000,2,6,2722.51,5,2019
1,57500000,2,5,5445.02,5,2019
1,620000000,2,8,35392.6,8,2019
1,5500000,2,3,680.63,3,2019
1,50000000,2,6,5445.02,5,2019
1,12000000,2,6,2178.01,6,2018
1,65000000,2,0,10890,0,2019
1,1250000000,2,0,43560.2,0,2019
1,42500000,2,8,5989.52,8,2019
1,66500000,2,0,10890,0,2019
1,12000000,2,5,1633.51,5,2019
1,40000000,2,7,5445.02,6,2019
1,180000000,2,7,25591.6,5,2019
1,17000000,2,6,2640.83,5,2019
1,47500000,2,0,5445.02,0,2019
1,17000000,2,5,2722.51,5,2019
1,25000000,2,5,4900.52,4,2019
1,17600000,2,6,2722.51,5,2019
1,17500000,2,6,2722.51,5,2019
1,35000000,2,5,4628.27,4,2019
1,22000000,2,5,2722.51,4,2019
1,23500000,2,6,2722.51,5,2019
1,41500000,2,6,5445.02,5,2019
1,23000000,2,5,2722.51,4,2019
1,23000000,2,5,2722.51,4,2019
1,20500000,2,4,2722.51,3,2019
1,21000000,2,4,2722.51,3,2019
1,19200000,2,7,2722.51,5,2019
1,7700000,2,4,1089,3,2019
1,21500000,2,5,2722.51,4,2019
1,11800000,2,4,1361.25,3,2019
1,26500000,2,5,3811.51,4,2019
1,70000000,2,7,10890,6,2019
1,49500000,2,6,5445.02,5,2019
1,12500000,2,3,1497.38,2,2019
1,36000000,2,5,4628.27,4,2019
1,36000000,2,6,5445.02,5,2019
1,51000000,2,6,5445.02,5,2019
1,20000000,2,7,2722.51,5,2018
1,6000000,2,2,544.5,3,2019
1,5500000,2,2,544.5,3,2019
1,65000000,2,0,5989.52,0,2019
1,35000000,2,6,5445.02,5,2019
1,17500000,2,6,2722.51,5,2019
1,52500000,2,6,5445.02,5,2019
1,35000000,2,8,3267.01,5,2019
1,22500000,2,5,2722.51,5,2019
1,22500000,2,5,2722.51,4,2019
1,23500000,2,4,2722.51,4,2019
1,15500000,2,5,2232.46,5,2019
1,37000000,2,5,4628.27,4,2019
1,28000000,2,4,3267.01,4,2019
1,23500000,2,5,2722.51,4,2019
1,22000000,2,6,2722.51,5,2019
1,22000000,2,5,2722.51,4,2019
1,21500000,2,5,2722.51,4,2019
1,22500000,2,5,2722.51,4,2019
1,60000000,2,0,5445.02,0,2019
1,1200000000,2,0,43560.2,0,2019
1,380000000,2,0,10890,0,2019
2,3200000,2,2,816.75,2,2019
1,59800000,2,7,5445.02,6,2019
1,66000000,2,6,10890,6,2019
1,360000000,2,7,54450.2,5,2019
1,160000000,2,6,5445.02,5,2019
1,8000000,2,3,816.75,2,2019
1,480000000,2,0,21780.1,0,2019
2,22500000,2,0,1905.76,0,2019
